payload_commit_msg,repository_language
yay,PHP
"Add initial support for booting from ZFS on sparc64. At least on Sun Fire V100, the firmware is known to be broken and not allowing to simultaneously open disk devices, causing attempts to boot from a mirror or RAIDZ to cause a crash. This will be worked around later. The firmwares of newer sun4u models don't seem to exhibit this problem though. Steps for ZFS booting: 1. create VTOC8 label # gpart create -s vtoc8 da0 2. add partitions, f.e.: # gpart add -t freebsd-zfs -s 60g da0 # gpart add -t freebsd-swap da0 resulting in something like: # gpart show => 0 143331930 da0 VTOC8 (68G) 0 125821080 1 freebsd-zfs (60G) 125821080 17510850 2 freebsd-swap (8.4G) 3. create zpool # zpool create bunker da0a or for mirror/RAIDZ (after preparing additional disks as in steps 1. + 2.): # zpool create bunker mirror da0a da1a # zpool create bunker raidz da0a da1a da2a ... 4. set bootfs # zpool set bootfs=bunker bunker 5. install zfsboot # zpool export bunker # gpart bootcode -p /boot/zfsboot da0 6. write zfsloader to the ZFS Boot Block (so far, there's no dedicated tool for this, so dd(1) has to be used for this purpose) When using mirror/RAIDZ, step 4. and the dd(1) invocation should be repeated for the additional disks in order to be able to boot from another disk in case of failure. # sysctl kern.geom.debugflags=0x10 # dd if=/boot/zfsloader of=/dev/da0a bs=512 oseek=1024 conv=notrunc # zpool import bunker 7. install system on ZFS filesystem Don't forget to set 'zfs_load=""YES""' and vfs.root.mountfrom=""zfs:bunker"" in loader.conf as well as 'zfs_enable=""YES""'in rc.conf. 8. copy zpool.cache to the ZFS filesystem cp -p /boot/zfs/zpool.cache /bunker/boot/zfs/zpool.cache 9. set mountpoint # zfs set mountpoint=/ bunker 10. Now, given that aliases for all disks in the zpool exists (check with the `devalias` command on the boot monitor prompt) and disk0 corresponds to da0 (likewise for additional disks), the system can be booted from the ZFS with: {1} ok boot disk0 PR: 165025 Submitted by: Gavin Mu git-svn-id: svn+ssh://svn.freebsd.org/base/head@234898 ccf9f872-aa2e-dd11-9fc8-001c23d0bc1f",C
Searching YES,Ruby
"first draft of music page. Yes, feel free to steal our EP for now - we just want people to hear it",JavaScript
accept 'yes' and 'no' as values for boolean config options,Lua
"- add new ""PT Mono Bold"" font PR: 166537 Submitted by: Alexey Illarionov <littlesavage at rambler dot ru> (maintainer) Feature safe: yes",C
new achievements *yay*,Shell
Application tests work - renamed that long cassette to everything.yml - updated cassettes for facebook requests - made StatusExchange::Application tests pass with Rack::Test yay,JavaScript
Fixed the daisyworld computation - yay big numbers updated icon testing rig some support data,JavaScript
propery enables 'yes' option,Python
yay trucks! civilians get less stuck on objects,C#
got video working again! yay,JavaScript
anish's first commit! yay!!,Matlab
use echo instead of yes. dont forget to terminate echo command.,Objective-C
Yay for git!,C++
"merged branch ruimarinho/sort_by_time (PR #3745) Commits ------- dcf82d7 [Finder] Added sortBy options based on accessed, changed and modified times Discussion ---------- [Finder] Added sortBy options based on accessed, changed and modified times Bug fix: no Feature addition: yes Backwards compatibility break: no Symfony2 tests pass: yes",PHP
"Added empty files for Page Rank. Yes, I'm starting this late. No, you're not allowed to point fingers. Try doing my Capstone Project for me then we'll talk.",Java
"check if the service code has changed since the service was started. If yes, reload all services.",Ruby
jquery hiding and showing about text yay,Ruby
"[ticket/10270] Fixed a bug where fadedark wouldn't go. If the confirm box was submitted as yes, then the fadedark would stay until it was clicked. This commit fixes that. PHPBB3-10270",PHP
Added yes-no fields in config,PHP
Yay for Items,Java
Yay for Items,Java
update to 1.97.2; add a mirror Feature safe: yes,C
"small bug fix, and all test joints work! yay",HaXe
yay sliding troll,C++
"Windows installer fix. ACL2s requires that the installation directory not contain spaces, so I'm cheating and using the 8.3 compatible equivalent directory names (hardcoded to the path `C:\PROGRA~1\PROOFP~1\`). I'm not proud of this.",Java
"merged branch stof/autoloader_refactoring (PR #3756) Commits ------- f1f1494 Added an exception when passing an invalid object to ApcClassLoader f5cb167 [ClassLoader] Added a DebugClassLoader using composition 0e54a22 Updated the changelog eae772e [ClassLoader] Added an ApcClassLoader 4d1333f Changed the test autoloading to use the new autoloader 09850bd [ClassLoader] Added a simplified PSR-0 ClassLoader Discussion ---------- Autoloader refactoring Bug fix: no Feature addition: yes Backwards compatibility break: no Symfony2 tests pass: [![Build Status](https://secure.travis-ci.org/stof/symfony.png?branch=autoloader_refactoring)](http://travis-ci.org/stof/symfony) As discussed in #3623, I added a new ClassLoader instead of modifying the UniversalClassLoader, to be able to use the method names without BC concerns. The new class works the same than the composer autoloader regarding the handling of fallbacks, to be able to reuse namespace maps generated by composer. ```php <?php // autoload.php require_once __DIR__.'/vendor/symfony/class-loader/Symfony/Component/ClassLoader/ClassLoader.php'; $loader = new Symfony\Component\ClassLoader\ClassLoader(); $map = require __DIR__.'/vendor/.composer/autoload_namespaces.php'; $loader->addPrefixes($map); $loader->register(); ``` Differences with the composer class loader: - Composer's ``add`` method is named ``addPrefix`` in the Symfony ClassLoader - the methods related to the class map are removed as Symfony has a separate laoder for class maps - the ``addPrefixes`` method is added, accepting a namespace map. I also added a new ApcClassLoader which uses composition instead of inheriting from a class loader, which makes it far more easier to reuse (we could wrap a Composer autoloader with it for instance). ```php <?php $composerLoader = require __DIR__.'/vendor/.composer/autoload.php'; // no need to require the file manually as Composer already registered its autoloader $cachedLoader = new Symfony\Component\ClassLoader\ApcClassLoader('autoload.my_app', $composerLoader); $cachedLoader->register(); // unregister the Composer autoloader as we wrapped it in the ApcClassLoader $composerLoader->unregister(); ``` TODO: - refactor the Debug class loader to use composition too to be able to support different class loaders --------------------------------------------------------------------------- by fabpot at 2012-04-02T16:31:28Z Can you update the CHANGELOG and the UPGRADE file accordingly? --------------------------------------------------------------------------- by stof at 2012-04-02T16:47:43Z I added a note in the CHANGELOG. There is nothing to add in the UPGRADE file as the change is fully BC (I did not change the UniversalClassLoader at all so it can still be used). I'm working on the Debug loader right now so please wait a bit before merging --------------------------------------------------------------------------- by stof at 2012-04-02T17:12:11Z Here is a new DebugClassLoader using composition too. this way, it is able to support the UniversalClassLoader, the ApcUniversalClassLoader (without dropping the use of APC as done previously), the new ClassLoader, the new ApcClassLoader and even the composer autoloader. I'm not sure about the use of ``method_exists`` as it could break if an autoloader implements a protected ``findFile`` method (crappy PHP :cry:) but hardcoding the supported classes would be a pain and requiring an interface would make the autoloaders more difficult to use (as the interface would need to be required first) and would drop the support of the composer autoloader.",PHP
stop autolinking strings like foo...yes/no plus version bump,Ruby
"Lua event shutdown, yay",C++
"Lua event shutdown, yay",C
"merged branch stof/autoloader_refactoring (PR #3756) Commits ------- f1f1494 Added an exception when passing an invalid object to ApcClassLoader f5cb167 [ClassLoader] Added a DebugClassLoader using composition 0e54a22 Updated the changelog eae772e [ClassLoader] Added an ApcClassLoader 4d1333f Changed the test autoloading to use the new autoloader 09850bd [ClassLoader] Added a simplified PSR-0 ClassLoader Discussion ---------- Autoloader refactoring Bug fix: no Feature addition: yes Backwards compatibility break: no Symfony2 tests pass: [![Build Status](https://secure.travis-ci.org/stof/symfony.png?branch=autoloader_refactoring)](http://travis-ci.org/stof/symfony) As discussed in #3623, I added a new ClassLoader instead of modifying the UniversalClassLoader, to be able to use the method names without BC concerns. The new class works the same than the composer autoloader regarding the handling of fallbacks, to be able to reuse namespace maps generated by composer. ```php <?php // autoload.php require_once __DIR__.'/vendor/symfony/class-loader/Symfony/Component/ClassLoader/ClassLoader.php'; $loader = new Symfony\Component\ClassLoader\ClassLoader(); $map = require __DIR__.'/vendor/.composer/autoload_namespaces.php'; $loader->addPrefixes($map); $loader->register(); ``` Differences with the composer class loader: - Composer's ``add`` method is named ``addPrefix`` in the Symfony ClassLoader - the methods related to the class map are removed as Symfony has a separate laoder for class maps - the ``addPrefixes`` method is added, accepting a namespace map. I also added a new ApcClassLoader which uses composition instead of inheriting from a class loader, which makes it far more easier to reuse (we could wrap a Composer autoloader with it for instance). ```php <?php $composerLoader = require __DIR__.'/vendor/.composer/autoload.php'; // no need to require the file manually as Composer already registered its autoloader $cachedLoader = new Symfony\Component\ClassLoader\ApcClassLoader('autoload.my_app', $composerLoader); $cachedLoader->register(); // unregister the Composer autoloader as we wrapped it in the ApcClassLoader $composerLoader->unregister(); ``` TODO: - refactor the Debug class loader to use composition too to be able to support different class loaders --------------------------------------------------------------------------- by fabpot at 2012-04-02T16:31:28Z Can you update the CHANGELOG and the UPGRADE file accordingly? --------------------------------------------------------------------------- by stof at 2012-04-02T16:47:43Z I added a note in the CHANGELOG. There is nothing to add in the UPGRADE file as the change is fully BC (I did not change the UniversalClassLoader at all so it can still be used). I'm working on the Debug loader right now so please wait a bit before merging --------------------------------------------------------------------------- by stof at 2012-04-02T17:12:11Z Here is a new DebugClassLoader using composition too. this way, it is able to support the UniversalClassLoader, the ApcUniversalClassLoader (without dropping the use of APC as done previously), the new ClassLoader, the new ApcClassLoader and even the composer autoloader. I'm not sure about the use of ``method_exists`` as it could break if an autoloader implements a protected ``findFile`` method (crappy PHP :cry:) but hardcoding the supported classes would be a pain and requiring an interface would make the autoloaders more difficult to use (as the interface would need to be required first) and would drop the support of the composer autoloader.",PHP
yay,Python
"Users can now login, yay next step remote systems, happy days",JavaScript
"Changes to Materials Request functionality for DCL: 1) allow substitution of things like title, author, and patron name into the email templates to be sent out. 2) For magazine/newspaper articles could you add a box for “Number” as some journals have volume and number for their publications. Also add an * by the Date field for articles requests. 3) If user is a nonresident they should be stopped before they enter any information 4) Provide log in error message if library card number or PIN are incorrect/not valid. Currently, nothing happens. 5) Include non-resident info on first screen, and if possible deny non-residents access to form. Currently, non-residents can complete form and only receive the “Sorry…” message after submitting. 6) Change default on “Place a hold for me…” from No to Yes 7) Write out “Interlibrary Loan” rather than using “ILL” abbreviation 8) Offer log in option on “Track My Materials Requests” page rather than the message “You must be logged in to view your requests.""",PHP
yay,Ruby
"proud of ""drag and drop"" !",Ruby
yes! at least something,C
"Yay, first Xero authenticated request to a private resource",JavaScript
"yay, now you can upload certificates",JavaScript
"Cleaning up after the kids as well as making sure tppos teleports you to a loaded chunk. Tested all the way up to 30m by 100 by 30m (yes I said 30 million, anymore and Spoutcraft dies). Signed-off-by: Chris Sanders <NinjaZidane@hotmail.com>",Java
TODO list completed yay,Ruby
Added start=yes to defaults file,Ruby
"[zshrc] using good indentation Yes, it means hard tabs!",VimL
"[sawfish] Execute commands using `system' plus some semi related changes This commit replaces the use of `start-process' with calling `system'. The reason to do that is because librep kills all running processes as it terminates. This means that on Sawfish restart, all applications started from Sawfish are killed. By using `system' I can consistently add an ampersand to the end of each command so that a double fork with the middle process termination is performed so that the command can continue even when librep exits. This actually simplifies things as there is no longer need to specify commands as lists but rather as a single string. The benefit of the former were not used at all in the configuration file, so there's no need to worry about thouse. To make that change, `mn-exec-unless' function has been renamed to `mn-run-unless' and a new `mn-run' function has been added which calls `system' and runs command. In the meantime fewer other changes has been performed: A new W-Enter binding has been added to windows which pops window operations menu. This is nice since on my configuration of Kinesis keyboard, W-Enter is easy to press with just the left hand. The W-Button3-Click binding on the root window has ben changed to Button3-Click. The need to press win key was just a nuisance. The root menu has been mistake-proofed. Each option (other then “Customize”) pops a sub-menu with a single “Yes” option. This means that pressing one of the top level options by mistake won't kill Sawfish and everything else. XF86Audio* bindings has been removed since I no longer use a keyboard which has multimedia keys (and in fact never used them anyway). The W-l binding runs ""xlocker"" rather then locking xscreensaver. The idea is for ""xlocker"" command be a script in ~/bin which calls xlock. This change is because I've stopped using xscreensaver in favour of xlock.",Emacs Lisp
"got working, yay",C
yes gogogogog,Ruby
"0.1.5 : + Texts now possess a Depth. + Text creation and rendering has been re-done. They now use their own projection matrix (not dependant on cam pan or zoom), instead of being created with absolute positionning depending on window size. NO MORE ARTEFACTS!!! yay! ? To respect the new proj matrix, there is no more UseProjectionMatrix in the JSON files defining a shader. It has been replaced by a ProjectionMatrixType (0 for none, 1 for CameraProj, 2 for Gui2Dproj). ? Game window cant be resized anymore. ~ Fixed texts, which destroyed and allocated themselves everytime their string was changed. They now use the correct reallocation function. This bug made the memory manager saturate with constant free and alloc. ~ Fixed dynamic meshes, which had the same problem when their data was modified. They now use the realloc function properly.",C
yay,Java
The AI is working. Hurray,Haskell
"Dani's work involved no enhancement, yes? (Cool.) I see the need for Dirichlet b.c.s (i.e. in no_model strip) for enthalpy,SSA. Others?",C++
"Merge pull request #593 from Talvalin/issue_2492_gift_exchange_def Yay, looks great! One tip: it's helpful if you include the Google Code url for the issue in your pullreq description. Fix for issue 2492 - Tidy up code for gift_exchange and prompt_meme definitions",Ruby
"Remove USE_X11=yes, so that rrdtool (and thus xymon) can be installed on servers that don't use X. Ok'd by jakllsch@",C
"Fix type in README it should be prompt not confirm. For the storing data associated to a client example, it requires data to be sent, with confirm, it only brings up a yes or no dialog. But it requires data, so prompt is the correct function to call instead.",JavaScript
"Various changes to the Dismiss Unit prompt * Gave the dialog a title * Hardcoded trailing blanks previous found in translatable strings * Removed 'excited' exclamation marks from UI strings * Removed the silly ""My lord"" at the start; merits no further explanation git-svn-id: http://svn.gna.org/svn/wesnoth/trunk@53997 75b3775d-3801-0410-9e12-e2e43121521d",C++
Correction to forms.py. Apparently I got overly excited in a50f3307 (the initial transfer) and renamed the PROJECT_ROOT setting. In one place.,Python
"Stop being paranoid, yes, these dotfiles ARE meant to be published.",VimL
Your own place for web fonts. Yay\!,PHP
commit - yes,Objective-C
Add yes/no radioselect git-svn-id: https://svn.eionet.europa.eu/repositories/Naaya/trunk/eggs@18817 a0171fae-0946-0410-966d-b1775066cd26,Python
add bingo.lang.New class to create common instances,Java
YUI in python. yes please. -Dx,Python
ForumPP: add again=yes to urls in sms,PHP
"Commit before the presentation by Per, revert to this if errors before... yes yes",CoffeeScript
yay! binary bodies in frames!,C++
"Fix alphabetization of OME-XML primitive imports Yes, there are more important things to be working on now, thank you for asking. This was _really_ _bothering_ me.",Java
"merged branch proofek/fix-process-exception (PR #4111) Commits ------- 1c03a16 [Process] Fixed ProcessFailedException not populating exception message due to a missing sprintf parameter Discussion ---------- [Process] Fixed ProcessFailedException not populating exception message ... ...due to a missing sprintf parameter Bug fix: yes Feature addition: no Backwards compatibility break: no Symfony2 tests pass: http://travis-ci.org/#!/proofek/symfony/builds/1172817 Fixes the following tickets: - Todo: - Found the issue when started using Cilex with Process and raised an exception using ProcessFailedException. Not sure whether this will get into the main release, as I couldn't find that on 2.0 branch, so I am guessing it's quite a recent addition to Process component.",PHP
"merged branch proofek/fix-process-exception (PR #4111) Commits ------- 1c03a16 [Process] Fixed ProcessFailedException not populating exception message due to a missing sprintf parameter Discussion ---------- [Process] Fixed ProcessFailedException not populating exception message ... ...due to a missing sprintf parameter Bug fix: yes Feature addition: no Backwards compatibility break: no Symfony2 tests pass: http://travis-ci.org/#!/proofek/symfony/builds/1172817 Fixes the following tickets: - Todo: - Found the issue when started using Cilex with Process and raised an exception using ProcessFailedException. Not sure whether this will get into the main release, as I couldn't find that on 2.0 branch, so I am guessing it's quite a recent addition to Process component.",PHP
yay,Python
yes/,Shell
fixes for <syntax block=yes> case,Python
"Yes, ;gcc --version' is as stupidly formatted as I expected *sigh* avoid it!",Perl
fixes for <syntax block=yes> case,Python
fixes for default output in <syntax block=yes> case,Python
Add the log.py file...yay,Python
add conditional space before braces in <syntax block=yes> case,Python
"works, yay!",Perl
Yay! Got number 9 working!,JavaScript
All counterexamples are fixed. YAY!,Coq
"Centering the output As a side note, mongrel (1.1.5) and mongrel_cluster (1.0.5) Don't play nice with rails 2.3.11. Yes I'm dealing in ancient stuff. Lern2like it.",Ruby
yay oh-my-zsh as a submodule,VimL
yay updated oh-my-zsh,VimL
"merged branch drak/sessionmeta (PR #3718) Commits ------- 8a0e6d2 [HttpFoundation] Update changelog. 4fc04fa [HttpFoundation] Renamed MetaBag to MetadataBag 2f03b31 [HttpFoundation] Added the ability to change the session cookie lifetime on migrate(). 39141e8 [HttpFoundation] Add ability to force the lifetime (allows update of session cookie expiry-time) ec3f88f [HttpFoundation] Add methods to interface 402254c [HttpFoundation] Changed meta-data responsibility to SessionStorageInterface d9fd14f [HttpFoundation] Refactored for moved tests location. 29bd787 [HttpFoundation] Added some basic meta-data to Session Discussion ---------- [2.1][HttpFoundation] Added some basic meta-data to Session Bug fix: no Feature addition: yes Backwards compatibility break: no Symfony2 tests pass: yes References the following tickets: #2171 Todo: - Session data is stored as an encoded string against a single id. If we want to store meta-data about the session, that data has to be stored as part of the session data to ensure the meta-data can persist using any session save handler. This patch makes it much easier to determine the logic of session expiration. In general a session expiry can be dealt with by the gc handlers, however, in some applications more specific expiry rules might be required. Session expiry may also be more complex than a simple, session was idle for x seconds. For example, in Zikula there are three security settings, Low, Medium and High. The rules for session expiry are more complex as under the Medium setting, a session will expire after x minutes idle time, unless the rememberme option was ticked on login. If so, the session will not idle. This gives the user some control over their experience. Under the high security setting, then there is no option, sessions will expire after the idle time is reached and login the UI has the rememberme checkbox removed. The other advantage is that under this methodology, there can be a UI experience on expiry, like ""Sorry, your session expired due to being idle for 10 minutes"". Keeping in the spirit of Symfony2 Components, I am seeking to make session handling flexible enough to accommodate these general requirements without specifically covering expiration rules. It would mean that it would be up to the implementing application to specifcally check and expire session after starting it. Expiration might look something like this: $session->start(); if (time() - $session->getMetadataBag()->getLastUpdate() > $maxIdleTime) { $session->invalidate(); throw new SessionExpired(); } This commit also brings the ability to change the `cookie_lifetime` when migrating a session. This means one could move from a default of browser only session cookie to long-lived cookie when changing from a anonymous to a logged in user for example. $session->migrate($destroy, $lifetime); --------------------------------------------------------------------------- by drak at 2012-03-30T18:18:43Z @fabpot I have removed [WIP] status. --------------------------------------------------------------------------- by drak at 2012-03-31T13:34:57Z NB: This PR has been rebased and the tests relocated as per recent master changes. --------------------------------------------------------------------------- by drak at 2012-04-03T02:16:43Z @fabpot - ping",PHP
"merged branch drak/sessionmeta (PR #3718) Commits ------- 8a0e6d2 [HttpFoundation] Update changelog. 4fc04fa [HttpFoundation] Renamed MetaBag to MetadataBag 2f03b31 [HttpFoundation] Added the ability to change the session cookie lifetime on migrate(). 39141e8 [HttpFoundation] Add ability to force the lifetime (allows update of session cookie expiry-time) ec3f88f [HttpFoundation] Add methods to interface 402254c [HttpFoundation] Changed meta-data responsibility to SessionStorageInterface d9fd14f [HttpFoundation] Refactored for moved tests location. 29bd787 [HttpFoundation] Added some basic meta-data to Session Discussion ---------- [2.1][HttpFoundation] Added some basic meta-data to Session Bug fix: no Feature addition: yes Backwards compatibility break: no Symfony2 tests pass: yes References the following tickets: #2171 Todo: - Session data is stored as an encoded string against a single id. If we want to store meta-data about the session, that data has to be stored as part of the session data to ensure the meta-data can persist using any session save handler. This patch makes it much easier to determine the logic of session expiration. In general a session expiry can be dealt with by the gc handlers, however, in some applications more specific expiry rules might be required. Session expiry may also be more complex than a simple, session was idle for x seconds. For example, in Zikula there are three security settings, Low, Medium and High. The rules for session expiry are more complex as under the Medium setting, a session will expire after x minutes idle time, unless the rememberme option was ticked on login. If so, the session will not idle. This gives the user some control over their experience. Under the high security setting, then there is no option, sessions will expire after the idle time is reached and login the UI has the rememberme checkbox removed. The other advantage is that under this methodology, there can be a UI experience on expiry, like ""Sorry, your session expired due to being idle for 10 minutes"". Keeping in the spirit of Symfony2 Components, I am seeking to make session handling flexible enough to accommodate these general requirements without specifically covering expiration rules. It would mean that it would be up to the implementing application to specifcally check and expire session after starting it. Expiration might look something like this: $session->start(); if (time() - $session->getMetadataBag()->getLastUpdate() > $maxIdleTime) { $session->invalidate(); throw new SessionExpired(); } This commit also brings the ability to change the `cookie_lifetime` when migrating a session. This means one could move from a default of browser only session cookie to long-lived cookie when changing from a anonymous to a logged in user for example. $session->migrate($destroy, $lifetime); --------------------------------------------------------------------------- by drak at 2012-03-30T18:18:43Z @fabpot I have removed [WIP] status. --------------------------------------------------------------------------- by drak at 2012-03-31T13:34:57Z NB: This PR has been rebased and the tests relocated as per recent master changes. --------------------------------------------------------------------------- by drak at 2012-04-03T02:16:43Z @fabpot - ping",PHP
Fixed compilation errors Now it compiles! Yay!,C
"Merge branch 'drm-prime-dmabuf-initial' of git://people.freedesktop.org/~airlied/linux Pull dma-buf prime support from Dave Airlie: ""This isn't a majorly urgent thing to have, but we'd like to set the stage for working on dma-buf support in the drm drivers for the next merge window, so I'd like to push in the initial submission now so people have something that we can build on top of. The code just introduces the user interface and internal helper functions for drivers to use. We have driver support under development for i915, nouveau, udl on x86 and exynos, omapdrm on arm, which we would be aiming for the next merge window."" In the -rc1 announcement I asked for people who would use this to comment on it, and got severa ""Yes please"" from people for this and for HSI (that I merged earlier). So far crickets on pohmelfs and the DMA-mapping infrastructure. * 'drm-prime-dmabuf-initial' of git://people.freedesktop.org/~airlied/linux: drm: base prime/dma-buf support (v5)",C
"ripped old wireless/wap support (yes, there will be a modern mobile theme)",PHP
merged branch hhamon/form_extension_typo_fix (PR #3138) Commits ------- d0da2f9 [Bridge] [Twig] fixed typo in a comment of the Twig FormExtension extension. Discussion ---------- [Bridge] [Twig] fixed typo in a comment of the Twig FormExtension extension Bug fix: no Feature addition: no Backwards compatibility break: no Symfony2 tests pass: yes Fixes the following tickets: - Todo: -,PHP
"Yes, website generation now FULLY OPERATIONAL.",Ruby
typo in Response. Sessions should be set and committed properly now. Yay!,PHP
"Make every person detail nullable. Yes, including name. Technically Core (at present) will always return at least the empty string for a name, but as it has no hard requirement that people have names, I'm going to leave the schema open.",JavaScript
little bit more darken bg. yes I am an addict,Ruby
More progress hurray,Objective-C
"re-binds auth to account manager, hide the debugging, and precariously using the session tracking right now to unify the account id experimentially... also allows facebook to work too YAY",JavaScript
100% coverage for lib/api.js. Yes.,JavaScript
"[v2] don't keep racy addr in a register for too long, use the shadow memory address when reporting a race. The last push/pop is killed. Yay git-svn-id: http://data-race-test.googlecode.com/svn/trunk@4155 93a3164d-3a44-0410-8ae5-4baa038b0729",C++
"Merge pull request #8 from RsrchBoy/topic/nitpicks great catch, I'm glad to get so many documentation patches. --John",Perl
Adding Pkmn! YAY!,Python
"Cleaned up eye.runner module. The actual grabbing of files, and then creating a proper list is a HECK of a lot cleaner now. Added the ForeignFunctionError and ModuleError to the eye.utility module. I will most likely rename ModuleError to something else. Updated eye.suite module to throw ForeignFunctionErrors if the DEFINITE required functions are not available. I still need to update/modify the eye.test module so that if the function call fails, it simply marks the test as a failure with the reason of the function not existing. I'm also going to have to handle when the Suite exceptions are thrown. I've also left a few notes for whenever python 3.3 comes out. Really excited for the `yield from` and `raise <exception> from None` syntax. It'll probably make throwing exceptions up a chain easier for library issues :P.",Python
"Updating README Yes, again.",JavaScript
"Immutibility Goes a long way Yes, It does, Especially in the new JMM",Java
i added a comment yay,C
i decided that the comment was pointless yay,C
"refs #410: migrate more templates, drop obsolete controller (yay!)",PHP
"first cut at a little explicit html to ""decorate"" the backup for local browsing * single image, paged-index, and index-line are each str.format() html files (yes, they'd probably be cleaner in jinja or something but then I have to *pick* one) * paged indices are kind of wrong, but I only have four pix backed up and don't know what the data.pagination looks like when it isn't empty * cheesy caching of the (first) page so I can spin this without hitting the website * stash all of the metadata in date-title.json, alongside the .jpg * stash the html, but replace spaces with dashes to avoid %20 quoting lots of work remains, if I actually keep *using* this, but I wanted something browsable now...",Python
"No more segfaults! Hurray. In addition, relative addreses resolved.",C
"merged branch drak/caed (PR #3783) Commits ------- d04638a [EventDispatcher] More logical positions for classes. Discussion ---------- [EventDispatcher] More logical positions for classes. Bug fix: no Feature addition: no Backwards compatibility break: no Symfony2 tests pass: yes Fixes the following tickets: - Todo: - --------------------------------------------------------------------------- by stof at 2012-04-04T18:59:02Z ah sorry, I looked at the patch too fast. Only the interface is moved",PHP
"merged branch drak/caed (PR #3783) Commits ------- d04638a [EventDispatcher] More logical positions for classes. Discussion ---------- [EventDispatcher] More logical positions for classes. Bug fix: no Feature addition: no Backwards compatibility break: no Symfony2 tests pass: yes Fixes the following tickets: - Todo: - --------------------------------------------------------------------------- by stof at 2012-04-04T18:59:02Z ah sorry, I looked at the patch too fast. Only the interface is moved",PHP
Moved CRS for google from 3785 (wrong) to 3857 (right). Now everything lines up. Hurray.,Scala
[bluray] Delete support for older libbluray xbmc will abort configure if an old libbluray is found and configure is auto or yes. To skip libbluray support in that case explicitly disable it.,C
"Added useTrimmedFrameForAnchorPoint property to CCSprite. When set to YES this property makes the trimmed frame the frame of reference for the contentSize and the anchorPoint. When using trimmed frames with different offsets and same original sizes, the anchor point will be off. Or when using different trimmed frames with different offsets. This is useful for animations that use the trimmed frame as frame of reference for transformations or expect the anchor point to remain the same between frames with different offsets. To test the new behavior, I've included two new sprite tests.",Objective-C
yay. bullets.,Clojure
we we we so excited,JavaScript
"Micro optimizations to set/get/delitem Yes I did benchmark this (scripts/benchmark), yes it was faster, and yes it was by a fairly small amount.",Python
"Store a hash of the API key (hash of a hash, yay) and move the SHA256 object around. This way if the database ever gets compromised, the API keys are still secure and hashed. The attacker won't be able to hit up the API on behalf of a user just by having the DB-representation of the key. This also moves SHA256.hash() into an 'objects' package so that it's available from controllers and the User model.",Scala
266% Faster yay,Haskell
"Why am I touching this again? Sidebar yay, also fixed up the RPG layout for no reason",PHP
Remove double initialization of spacecraft This was causing weird behaviors with duplicated PLobjects. Issue fixed which means that simulator now runs again. Yay!!! :),C
"realised functions are good, need to add evaluation function, but the logic makes a lot more sense now yay =-)",Python
Made laptop stickers stick around. yay --HG-- branch : modulebrowser,JavaScript
Fixed bug in permutation concatamer generation; now master will properly generate structures. yay,Python
YES,JavaScript
Added (simple) ADC login sequence + chat command Yay! Globster can now be used for sending spam messages to a hub!,Go
merged branch eriksencosta/locale-fixes-2.0 (PR #3947) Commits ------- b1ea552 [Locale] micro-optimization 663d218 [Locale] changed method name bb61e09 [Locale] use the correct way for Intl error Discussion ---------- [2.0][Locale] rebased PR 3765 plus few changes Bug fix: yes Feature addition: no Backwards compatibility break: no Symfony2 tests pass: yes Fixes the following tickets: - Todo: - #3765 was right but was made in master. Cherry-picked and rebased for 2.0. Tests are passing.,PHP
Implement dashrep-yes-indicate-line-endings option,Perl
super makefile now! Yay!,Puppet
Fuck yes. Bundle the shit to one versionable file. * Update to new chaplin. * Bundle the whole thing into one file. * Remove example application.,CoffeeScript
Merge pull request #1 from hidetomo/master Case Sensitiveness (Thank you for sending me a sample pull request. I'm glad to take it in my repo ),JavaScript
YES BABY :D,PHP
yes workz,Java
"javascript-driven mustache-based dashboard widgets, yay!",JavaScript
"! Removed :arglist from everything except :op_asgn1. cleaned up a lot of formatting because it is so much cleaner! yay! [git-p4: depot-paths = ""//src/sexp_processor/dev/"": change = 7341]",Ruby
"Fixed short reading, yay! (little/big endian herp a derp) Signed-off-by: Ed Hanton <edh649@gmail.com>",C#
"Removed data method storage of CW.. now appends to DOM. Why? The .data() method was proving far too verbose and unwieldy in practice. Purer yes, but less useful.",CoffeeScript
"Fix user provisioning (again) - Set ""password last changed"" field - Only change password if 'changepw' is ""yes"" Where applicable, these changes were made to res_group as well.",C
ASSIGNMENT 4 DONE!!!!!!!!!!!!!!YES!!!!!!!!!!!!!!!!!!!!!!!!,Objective-C
force yes,Ruby
Adding PrivateTmp=yes to the cobblerd.service file for systemd,Python
"Because test.ogg did not exist, timidity was failing to boot and then all of the tests were failing. I'm glad that's fixed.",Python
its parsing collectd packets correctly now yay!,Clojure
Yay! Javascripts!,JavaScript
"Yay, whitespace",PHP
yes,JavaScript
Finished the Kosaragu algorithm. Yay!,C
Backend saves pages now. Yay.,JavaScript
"we probably want entitlements on initially, yes?",Objective-C
"split off ScriptedEntity from CustomEnemy this is a huge one. it probably breaks enemies completely, but it's the first step to scripted entities. extracted a bunch of the enemy api into a separate entity api, to leave only actually enemy-relevant stuff (like life) behind. yay I implemented a snoring sprite without npc!",C++
